# ミラージュゲート カードデータ（設計図§4.1 全54枚）。
# effects列: セミコロン区切りの key:value（値なしはbool true）。CardDataのフィールド名と一致させること。
# category: Heal/Attack/Support/Buff/Equip。装備MPはGameBalanceConfigでレア度上書き可。
id,name,icon,category,cost,mp,desc,effects
pot20,ポーション20,🧪,Heal,8,4,HP20回復,heal:20
pot40,ポーション40,🧪,Heal,14,7,HP40回復,heal:40
pot60,ポーション60,🧪,Heal,19,9,HP60回復,heal:60
pot80,ポーション80,🧴,Heal,24,12,HP80回復,heal:80
potMax,ポーションMAX,💧,Heal,40,18,HP全回復,healMax
mpot,マジックポーション,🔮,Heal,20,0,MP30回復,mpRestore:30
heal100,ヒール100,➕,Heal,18,8,歩行毎HP+1（計100）,regen:100
fire,ファイア,🔥,Attack,12,6,単体に魔法18,mag:18
thunder,サンダー,⚡,Attack,20,12,単体に魔法34,mag:34
meteo,メテオ,☄️,Attack,34,20,単体に魔法60,mag:60
mfire,マルチファイア,🔥,Attack,26,12,視界内全敵に18,mag:18;multi
mthunder,マルチサンダー,⚡,Attack,40,22,視界内全敵に34,mag:34;multi
mmeteo,マルチメテオ,☄️,Attack,60,34,視界内全敵に60,mag:60;multi
spear,スピア,🗡️,Attack,22,10,直線貫通に40,spear:40
poison,ポイズン,☠️,Attack,15,7,単体に毒（5ダメ×8T）,poison:8
lock,ロック,🔒,Support,16,8,視界内全敵を5T停止,lockAll:5
sleep,スリープ,😴,Support,14,6,単体を6T睡眠,sleep:6
slow,スロー,🐌,Support,14,6,単体を8T鈍足,slow:8
panic,パニック,😵,Support,16,8,視界内全敵が6T混乱,panic:6
storm,マルチストーム,🌪️,Support,24,10,全敵を吹き飛ばし5ダメ,storm:5
charm,チャーム,💞,Support,20,12,単体を味方化（8T）,charm:8
bright,ブライト,💡,Support,12,5,このフロア視界MAX,bright
map,マップ,🗺️,Support,10,4,フロア全体を表示,map
search,サーチ,🔭,Support,10,4,敵位置を表示,search
silent,サイレント,🔇,Support,22,12,このフロア湧き停止,silent
teleport,テレポート,🌀,Support,14,8,フロア内ランダム移動,teleport
escape,エスケープ,🚪,Support,16,0,即脱出（配当と手札保持）,escape
barrier,バリア,🛡️,Buff,30,16,10回ダメージ無効,barrier:10
invis,インビシブル,👻,Buff,24,12,10T透明,invis:10
combo,コンボ,💥,Buff,26,14,3回連続行動,combo:3
hyper,ハイパーコンボ,⚡,Buff,50,30,10回連続行動,combo:10
speed,スピードアップ,💨,Buff,14,6,10T移動2倍,speed:10
glow,グローアップ,⭐,Buff,16,8,ATK/DEF/HP小+,glow
power,パワーアップ,🌟,Buff,34,18,ATK/DEF/HP大+,power
hpup,HPアップ,❤️,Buff,18,8,最大HP+10,hpUp:10
death,デス,💀,Attack,45,25,単体即死,death
longsword,ロングソード,⚔️,Equip,50,6,通常攻撃+30%,swordMul:1.3
greatsword,グレートソード,🗡️,Equip,90,18,通常攻撃+60%,swordMul:1.6
goldsword,ゴールドソード,💰,Equip,70,10,格上撃破で配当+,goldSword
drainsword,ドレインソード,🩸,Equip,80,14,与ダメ1/4吸収,drain
sleepsword,スリープソード,💤,Equip,60,10,攻撃時たまに睡眠,sleepSword
shield,シールド,🛡️,Equip,60,10,このランDEF+6,shieldDef:6
pocket1,ポケット+1,👝,Equip,40,6,カード枠+1,pocket:1
pocket2,ポケット+2,🎒,Equip,70,10,カード枠+2,pocket:2
revive,リバイブリング,💍,Equip,80,18,HP半分で復活,ring:revive
ringMagic,魔導の指輪,💍,Equip,70,18,魔法1.5倍,ring:magic
ringLucky,幸運の指輪,💍,Equip,70,18,MP消費半分,ring:lucky
ringHeal,癒しの指輪,💍,Equip,60,14,歩くたびHP+1,ring:heal
ringTonic,強壮の指輪,💍,Equip,55,14,部屋入室+5回復,ring:tonic
ringBright,視界の指輪,💍,Equip,45,6,常時視界MAX,ring:bright
bloodfire,ブラッドファイア,🩸,Attack,0,10,単体に魔法95（代償maxHP-8）,mag:95;forbidden;costMaxHp:8
soulreturn,ソウルリターン,💀,Heal,0,0,HP/MP全回復（代償maxHP-12）,healMax;mpRestore:999;forbidden;costMaxHp:12
memeater,記憶喰らい,🌀,Attack,0,18,視界内全敵に60（記憶片+1）,mag:60;multi;forbidden;gainShard:1
orbcall,オーブコール,🔮,Attack,0,30,全敵に110（自傷25）,mag:110;multi;forbidden;selfDmg:25
