# ミラージュゲート ダンジョン（原作DUNGEONSから実データ抽出 2026-06-19）。bandsはフロアを|・敵を,区切り。
id,jpName,star,floors,size,rooms,dense,spawn,bet,win,isTutorial,hidden,bagLimit,autoDeepen,gimIce,gimPoison,gimFire,gimCurse,bands
tutorial,操作の間（チュートリアル）,0,1,9,4,0.05,0,0,30,1,0,0,0,0,0,0,0,プーニャ緑
hajimete,はじめての穴,1,3,11,4,0.08,0.02,3,40,0,0,0,0,0.1,0.2,0.05,0,"プーニャ緑|プーニャ緑,プーニャ黄|プーニャ黄,ホッピー"
easy,やさしい谷,1,3,11,4,0.1,0.04,5,60,0,0,0,0,0.1,0.2,0.05,0,"プーニャ緑,プーニャ黄,ホッピー|プーニャ黄,キラービー,リザード|キラービー,スケルトン,ホッピー"
kiraku,きらくな小径,2,5,12,5,0.12,0.05,7,90,0,0,0,0,0,0.5,0,0,"プーニャ黄,キラービー|キラービー,リザード,ホッピー|スケルトン,キラービー,スピット|ケムンパ,スケルトン,ホッピー|ゴブリン,ケムンパ,キラービー"
futsuu,ふつうの坑道,2,5,13,5,0.13,0.06,10,160,0,0,0,0,0.1,0.2,0.05,0,"キラービー,ホッピー,リザード|スケルトン,キラービー,スピット|ケムンパ,スケルトン,キラーホッピー|ゴブリン,ケムンパ,プリースト|魔道士,ゴブリン,バルチャー"
fun,うれしい森,3,4,13,5,0.13,0.06,12,140,0,0,0,0,0.1,0.6,0.1,0,"キラービー,スケルトン,ケムンパ|スケルトン,ケムンパ,キラーホッピー,スピット|ゴブリン,魔道士,プリースト,バルチャー|魔道士,キラービー群,ベノム,グランシャーク,ミミック"
tegowai,てごわい岩窟,4,5,14,7,0.16,0.09,15,320,0,0,0,0,0.5,0.2,0.4,0.1,"スケルトン,ケムンパ,キラーホッピー|ゴブリン,魔道士,スピット|キラービー群,プリースト,ベノム,バルチャー|グランシャーク,ターミネーター,魔道士|死神,ドラゴン,リスタール,ビショップ,レイス"
fierce,はげしい洞窟,5,4,13,6,0.18,0.16,18,260,0,0,0,0,0.2,0.4,0.5,0,"プーニャ黄,キラービー,スケルトン,キラーホッピー|ケムンパ,ゴブリン,魔道士,プリースト|キラービー群,ターミネーター,グランシャーク,ベノム|ドラゴン,マッドブル,死神,リスタール"
hard,難しい遺跡,6,7,15,7,0.16,0.1,25,400,0,0,0,0,0.5,0.2,0.4,0.1,"スケルトン,ケムンパ,ゴブリン|ゴブリン,魔道士,スピット,バルチャー|魔道士,キラービー群,ベノム,プリースト|グランシャーク,ターミネーター,リスタール,ドラゴン|ドラゴン,死神,ビショップ,エビルアイ|死神,マッドブル,デーモン,エビルアイ|マッドブル,デーモン,リスタドラゴン,キングドラゴン,クリスタルゴーレム"
maboroshi,幻,7,8,15,8,0.16,0.14,0,1200,0,1,5,0,0.5,0.2,0.4,0.6,"スケルトン,ホッピー,キラービー,スピット|ゴブリン,魔道士,ケムンパ,キラーホッピー|プリースト,キラービー群,ベノム,バルチャー|グランシャーク,リスタール,魔道士,マザービー|ターミネーター,ドラゴン,ビショップ,スピット|死神,マッドブル,エビルアイ,プリースト|デーモン,リスタドラゴン,エビルアイ,ビショップ,ミミック,レイス,クリスタルゴーレム|キングドラゴン,カオス,デーモン,死神"
ultimate,究極の門,8,9,15,7,0.18,0.13,40,800,0,0,0,1,0.5,0.2,0.6,0.3,
