# ミラージュゲート 職業（原作JOBSから全17職抽出 2026-06-19）。base3職以外はhidden=1。capIndex:0物理/1魔法/2幸運。
id,jpName,emoji,hp,mp,atk,def,sight,capIndex,potBonus,magBonus,crit,luck,mpHalf,hidden,description
warrior,戦士,🗡️,50,20,12,6,3,0,1.0,1.0,0,0,0,0,攻撃力・防御力が高く安定。初心者向け。視界3。MP20。
mage,魔法使い,🧙,42,40,8,4,4,1,1.25,1.5,0,0,0,0,攻撃低めだがポーション+25%・魔法+50%。視界が広くMP40。
gambler,ギャンブラー,🎲,34,26,9,3,3,2,1.0,1.0,0,1,0,0,低耐久だが宝石/配当が見えやすく、稼ぎ倍率UP。上級者向け。MP26。
samurai,侍,⚔️,44,22,14,5,3,0,1.0,1.0,0.22,0,0,1,妖刀の一閃。攻撃力と会心率が高い手数型。視界3。
dragoon,竜騎士,🐉,58,24,11,9,3,0,1.0,1.1,0,0,0,1,竜槍の重撃。HPと防御が高く前線で粘る。視界3。
paladin,聖騎士,🛡️,56,22,14,9,3,0,1.25,1.0,0.16,0,0,1,宝剣と聖盾の重騎士。高いHP・防御に加え回復+25%。粘り強く前線を支える聖なる壁。視界3。
sorcerer,魔導士,🔮,36,38,9,4,3,1,1.15,1.5,0,0,0,1,紫紺の魔力を操る魔導士。MPと魔法が非常に高い後衛。視界3。
darkknight,闇騎士,🗡️,56,24,16,5,3,0,1.0,1.15,0.16,0,0,1,呪われた漆黒の大剣の高火力前衛。HPは高いが呪いで守備が薄く、被弾は痛い諸刃型。視界3。
fallen,ゼラート,🖤,48,32,14,6,4,1,1.1,1.35,0.16,0,0,1,漆黒の翼と三日月刃を携えた堕天の遊撃手。魔法と視界に優れる遊撃型。視界4。
valkyrie,ヴァルキリー,🪽,54,28,14,7,4,0,1.0,1.2,0.16,0,0,1,銀翼の戦乙女。広い視界とMP・魔法で前後を駆ける遊撃騎士。守りは薄め。視界4。
magicblade,魔剣姫,🗡️,46,36,13,6,3,1,1.1,1.45,0.18,0,0,1,紫紺の魔力を帯びた細剣の姫。剣技と魔法の二刀で会心も高い両刀型。視界3。
reddragoon,紅竜騎士,🐲,60,24,13,10,2,0,1.0,1.1,0,0,0,1,全職最高のHPと防御を誇る鉄壁の前線役。だが鈍重で視界が狭く、不意打ちに弱い。視界2。
gilgamesh,ギルガメシュ,👑,52,26,17,5,3,0,0.85,1.0,0.18,1,0,1,黄金鎧の英雄王。ATK・会心が最高で配当も得る。だが守りを知らず防御が薄く回復も苦手＝ガラスの大砲。視界3。
lucifer,ルシファー,🌑,50,34,14,6,4,1,1.1,1.4,0.14,0,0,1,光に背いた元・最高位天使。黒翼と欠けた光輪。魔法と視界に優れる。視界4。
odin,オーディン,👁️,44,36,11,5,5,1,1.15,1.5,0,0,0,1,片目と引き換えに知を得た大賢者。神槍グングニルと最広の視界5・最高の魔法。
loki,ロキ,🃏,42,30,12,4,4,2,1.1,1.25,0.22,1,0,1,紫金のトリックスター。低耐久だが会心・幸運・視界に優れた技巧派。視界4。
ren,主人公レン,🗡️,46,23,10,5,3,0,1.1,1.25,0,0,1,1,剣も魔も少しずつ扱う、折れない心の少年。MPはHPの半分。
