# ミラージュゲート モンスターデータ（設計図§5.1）。role列は MonsterRole 列挙名。
# capは職業別[物理,魔法,幸運]の育成上限。原作で個別値が違う場合はここを編集。minDmg空欄=payから自動。
monsterName,emoji,hp,atk,def,role,pay,cap0,cap1,cap2,minDmg,isBoss
プーニャ緑,🟢,22,5,1,melee,1,16,16,16,,0
プーニャ黄,🟡,26,6,1,melee,1,20,20,20,,0
リザード,🦎,34,7,2,revive,1,28,28,28,,0
キラービー,🐝,42,8,2,swarm,2,36,36,36,,0
ホッピー,🐇,30,6,1,coward,2,24,24,24,,0
キラーホッピー,🐰,46,9,2,lunge,3,40,40,40,,0
スケルトン,💀,52,10,3,melee,2,48,48,48,,0
ケムンパ,🐛,60,11,3,melee,3,56,56,56,,0
プリースト,🧙,58,8,3,healer,3,54,54,54,,0
スピット,🟣,56,9,3,split,3,50,50,50,,0
ゴブリン,👺,66,12,4,melee,4,64,64,64,,0
バルチャー,🦅,70,12,4,knock,4,66,66,66,,0
魔道士,🪄,62,11,2,ranged,5,58,58,58,,0
マザービー,🐝,90,14,6,summon,6,92,92,92,,0
キラービー群,🐝,72,14,5,swarm,6,90,90,90,,0
ベノム,🟢,74,13,5,poison,5,74,74,74,,0
グランシャーク,🦈,92,17,7,melee,7,96,96,96,,0
リスタール,🛡️,120,19,10,magicimmune,7,128,128,128,,0
ターミネーター,🤖,104,19,9,melee,8,110,110,110,,0
ドラゴン,🐉,128,24,10,ranged,10,136,136,136,,0
死神,☠️,148,29,10,melee,11,118,118,118,,0
ビショップ,⛪,160,22,10,healer,11,122,122,122,,0
マッドブル,🐂,178,31,12,charge,13,130,130,130,,0
エビルアイ,👁️,208,31,13,ranged,15,138,138,138,,0
デーモン,😈,230,42,15,melee,18,144,144,144,,0
リスタドラゴン,🐲,218,35,20,magicimmune,20,140,140,140,,0
キングドラゴン,🐉,248,50,20,ranged,25,148,148,148,,0
カオス,🌀,260,52,20,melee,28,150,150,150,,0
幻影のオーブ,🔮,2500,55,22,ranged,60,160,160,160,,1
ミミック,🧰,115,20,7,melee,7,95,95,95,,0
レイス,👻,122,27,6,knock,9,112,112,112,,0
クリスタルゴーレム,🔷,205,24,16,magicimmune,12,136,136,136,,0
